CustomerID,TrueLabel,PredictedProb,PredictedLabel
6173-GOLSU,0,0.6,1
1236-WFCDV,1,0.6,1
9962-BFPDU,0,0.6,1
4706-DGAHW,0,0.6,1
2277-DJJDL,0,0.6,1
3312-UUMZW,0,0.6,1
6680-WKXRZ,1,0.6,1
3672-YITQD,1,0.6,1
0823-HSCDJ,1,0.59,1
5440-VHLUL,0,0.59,1
0390-DCFDQ,1,0.59,1
1587-FKLZB,1,0.59,1
3721-CNEYS,1,0.59,1
2694-CIUMO,0,0.59,1
8445-DNBAE,0,0.59,1
6000-APYLU,1,0.59,1
3312-ZWLGF,0,0.59,1
8393-DLHGA,1,0.58,1
1024-GUALD,1,0.58,1
2057-ZBLPD,1,0.58,1
6770-XUAGN,1,0.58,1
1894-IGFSG,1,0.58,1
5606-AMZBO,0,0.58,1
5692-FPTAH,1,0.58,1
1077-HUUJM,0,0.58,1
2025-JKFWI,1,0.58,1
2800-QQUSO,0,0.58,1
3466-RITXD,0,0.58,1
4658-HCOHW,1,0.57,1
5650-YLIBA,0,0.57,1
1261-FWTTE,0,0.57,1
8714-EUHJO,1,0.57,1
1100-DDVRV,0,0.57,1
3374-LXDEV,1,0.57,1
0096-BXERS,0,0.57,1
8132-YPVBX,0,0.57,1
9927-DSWDF,0,0.57,1
5828-AVIPD,1,0.56,1
6047-YHPVI,1,0.56,1
6651-AZVTJ,1,0.56,1
9048-JVYVF,1,0.56,1
6048-QBXKL,0,0.56,1
7733-UDMTP,0,0.56,1
7250-EQKIY,1,0.56,1
1658-TJVOA,0,0.56,1
8080-DDEMJ,1,0.56,1
0581-MDMPW,0,0.56,1
0410-IPFTY,0,0.56,1
0979-PHULV,1,0.56,1
3334-CTHOL,1,0.56,1
2778-OCLGR,1,0.55,1
9979-RGMZT,0,0.55,1
6845-RGTYS,1,0.55,1
6705-LXORM,0,0.55,1
0330-IVZHA,1,0.55,1
0015-UOCOJ,0,0.55,1
6712-OAWRH,1,0.55,1
0923-PNFUB,1,0.54,1
4154-AQUGT,1,0.54,1
7410-YTJIK,1,0.54,1
3540-RZJYU,1,0.54,1
7504-UWHNB,0,0.54,1
5144-TVGLP,0,0.54,1
5419-KLXBN,1,0.54,1
1357-BIJKI,0,0.54,1
6704-UTUKK,0,0.54,1
9944-AEXBM,0,0.54,1
8903-XEBGX,0,0.54,1
6128-AQBMT,0,0.54,1
4237-RLAQD,1,0.54,1
4581-LNWUM,0,0.54,1
2604-IJPDU,0,0.54,1
4983-CCWMC,0,0.54,1
0310-MVLET,1,0.54,1
0506-LVNGN,1,0.53,1
7534-BFESC,1,0.53,1
2606-RMDHZ,1,0.53,1
9866-QEVEE,1,0.53,1
3923-CSIHK,1,0.53,1
9819-FBNSV,0,0.53,1
5461-QKNTN,0,0.53,1
0952-KMEEH,1,0.53,1
0256-LTHVJ,1,0.53,1
5373-SFODM,1,0.53,1
9050-QLROH,1,0.53,1
8676-TRMJS,1,0.53,1
5281-BUZGT,1,0.52,1
7209-JCUDS,1,0.52,1
0531-ZZJWQ,0,0.52,1
6137-NICCO,0,0.52,1
2761-OCIAX,1,0.52,1
9576-SYUHJ,0,0.52,1
6304-IJFSQ,1,0.52,1
4892-VLANZ,1,0.52,1
4919-IKATY,1,0.52,1
2480-EJWYP,0,0.52,1
6777-TGHTM,1,0.52,1
9992-UJOEL,0,0.52,1
8033-VCZGH,0,0.52,1
9940-RHLFB,1,0.51,1
8058-DMYRU,0,0.51,1
9851-KIELU,1,0.51,1
4208-UFFGW,1,0.51,1
7912-SYRQT,1,0.51,1
9465-RWMXL,1,0.51,1
5376-DEQCP,1,0.51,1
0004-TLHLJ,1,0.51,1
9139-WQQDY,1,0.51,1
8728-SKJLR,0,0.51,1
2782-LFZVW,0,0.51,1
7957-RYHQD,1,0.51,1
1319-YLZJG,0,0.51,1
4993-JCRGJ,0,0.51,1
8849-AYPTR,0,0.51,1
2041-JIJCI,0,0.5,1
9840-DVNDC,1,0.5,1
2187-PKZAY,0,0.5,1
1475-VWVDO,0,0.5,1
9381-NDKME,1,0.5,1
0682-USIXD,0,0.5,1
